"Annotations","Constructs","All","Lines","Words",,,,,
12,14,24,183,518,"binary-trees_cyc.cyc",6.56,7.65,13.11,
0,0,0,129,385,"binary-trees.c",0,0,0,41.86
16,30,45,333,889,"chameneos-redux_cyc.cyc",4.8,9.01,13.51,
0,0,0,301,738,"chameneos-redux.c",0,0,0,10.63
9,12,18,103,302,"thread-ring_cyc.cyc",8.74,11.65,17.48,
0,0,0,75,173,"thread-ring.c",0,0,0,37.33
7,19,25,257,827,"fannkuch_cyc.cyc",2.72,7.39,9.73,
0,0,0,173,504,"fannkuch.c",0,0,0,48.55
6,11,17,417,1139,"regex-dna_cyc.cyc",1.44,2.64,4.08,
0,0,0,306,827,"regex-dna.c",0,0,0,36.27
10,29,38,307,925,"spectral-norm_cyc.cyc",3.26,9.45,12.38,
0,0,0,238,786,"spectral-norm.c",0,0,0,28.99
6,13,18,232,776,"mandelbrot_cyc.cyc",2.59,5.6,7.76,
0,0,0,169,596,"mandelbrot.c",0,0,0,37.28
,,,,,,4.3,7.63,11.15,34.42
